Country,Population
DK,5748769
GE,82800000
EE,1315635
IR,4774833
GR,10757293
ES,46528966
FR,67024459
HR,4154213
IT,60589445
CY,854802
LV,2847904
LT,1950116
LU,590667
HU,9797561
MA,440433
NL,17081507
AT,8772865
PL,37972964
PT,10309573
RO,19638309
SI,2065895
SK,5435343
FI,5503297
SE,9995153
IS,334252
